1	Contra Hash	ch	Return of the Contra Hash		MBFJ	4:00 PM CDT	The old Las Colinas Polo Center off of Royal near Luna.	http://goo.gl/maps/gY0vw	BYOB			8:17 PM CDT	Saturday, September 1, 2012	Dickerections:<br />BYOB<br />> From 635 take Luna exit South.<br />Turn right onto Royal.<br />Go over the bridge and make your first U turn by the school.<br />Turn right into the last right on your right before going over the<br />bridge (good luck making sense of that).<br />Hint: You will see horse riding facilities<br />Watch out for the speed bumps, they are killer.<br />Follow the driveway around to the left and go over the one lane bridge.<br />Park to the right in the gravel parking lot.<br />BYOB<br /><br />Special Dickerections:<br />BYOB<br />This is a Contra Hash. Bring your own beer. It will be put in a<br />cooler and become Contra Hash community beer.<br />I'm not lugging around a bunch of 6 pack mini personal coolers for the<br />snob elitists who demand separation from the lower classes. Forget<br />that!<br />Bring some ice.<br />BYOB	 
3	Fort Worth Hash	fw	Labor Day Hash	702	Gangrene Hose, Straw &amp; EF	3:00 PM CDT	1523 Valley View Lane	http://goo.gl/maps/ty570	$7.00	Acrobats only!		8:14 PM CDT	Monday, September 3, 2012	3:00 start. County line rd, just south of 183 in Irving. To get there, find 183 and go toward DFW airport. Take County Line Rd exit. Go South (away from the big airport). The first warehouse on right is the start look for hashers. <br /><br />Bring a flashlight Tunnel. <br /><br />Note for turds, they need to be a gymnastic turd. Almost all trail is fine. But can they get up a manhole?<br />	 
5	Dallas Urban Hash	du		162	One Holy Night	7:00 PM CDT	Far West parking lot, Gaston Ave. at Garland Rd.	http://goo.gl/maps/BU7Y7	$7.00	Not Friendly		8:12 PM CDT	Wednesday, September 5, 2012		 
6	FU! Thursday is a Drinking Day!	fh	Free Reggae — Drinking Under the Stars			7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-thursday-is-a-drinking-day-september-13&amp;instance_id=1679				8:10 PM CDT	Thursday, September 6, 2012		 
7	Happy Hour	hh	Levitt Pavilion		EeeyWhore	7:00 PM CDT	Levitt Pavilion <br />100 West Abram Street, Arlington Texas 76010	http://goo.gl/maps/hzMsW	BYOB			8:09 PM CDT	Friday, September 7, 2012	Cum enjoy FREE music under the stars with Band of Heathens <a href="http://www.levittpavilionarlington.org/ConcertCalendar/BandofHeathens/tabid/309/Default.aspx"> Get Info</a><br />BYOB, Bring Chairs, NO GLASS containers<br />Park FREE at the City of Arlington employee parking across the street<br />Look for Hashers Stage left near the street side or look for the Balloon	 
8	Dallas Hash	dh	Mystery	859	Mystery Hare	3:00 PM CDT	Downtown Carrollton DART Station (Green Line)<br />1013 N. Denton Dr.<br />Carrollton, TX 75006	http://goo.gl/maps/07kaH	$7.00	On-trail, but not on-after		8:08 PM CDT	Saturday, September 8, 2012	Bring a change of clothes, bug spray, ivy block, a vessel, a whistle, a virgin – ie. your normal Saturday hash gear.	 
9	Special Event!	xx	Wet Spot’s Baby Shower			3:00 PM CDT	TBD					8:06 PM CDT	Sunday, September 9, 2012	When: Sunday -Sept 9th, 2012 at 2 pm <br /> What:  Wet Spots Baby Shower (Lori &amp; Jim Blanchat)<br /> Where: TBA  Will be at an alcohol friendly establishment.  Get the word out especially to those Hashers who have scared their poor children into hiding-  Grown Up Hash           Babies Wanted!!!!   A new hasher is in the making.   <br /> Lori Threlkeld Blanchat is registered at Target, Amazon &amp; Babies Я Us.	 
10	NODUH Hash	nd		59	Mouthful and Mendy	7:00 PM CDT	Petsmart parking lot (north of Target)<br />3333 Preston Road<br />Frisco, TX 75034	http://goo.gl/maps/uNqpB	$7.00	Not friendly		8:05 PM CDT	Monday, September 10, 2012	That's right, Just Mendy is getting her cherry popped on the 10th and Mouthful's going to help.<br />	 
12	Dallas Urban Hash	du	HIGH MAINTENANCE HASH	163	MILF Shake and Princess and the Penis	7:00 PM CDT	Street parking at Knight and Brown (Brown is 2 blocks north of Maple)	http://goo.gl/maps/tP9s8	$7.00	TURD friendly On-In NOT		8:02 PM CDT	Wednesday, September 12, 2012	HIGH MAINTENANCE HASH<br /><br />Cum have a cocktail with MILF Shake and Princess and the Penis as we celebrate Princess' birthday!<br /><br />Location: Street parking at Knight and Brown (Brown is 2 blocks north of Maple)<br />Gather: 6:30<br />Start: 7:00<br />Hash Cash: $7.00<br />Trail: TURD friendly On-In NOT<br /><br />Even though your Harriets would prefer to just have strong cocktails this week, we will make the rest of you happy and have beer. But if you want to join in our high maintenance fun, we will have not ONE, not TWO, but THREE different shots!!! There will be an awesome trail thru the lovely gayborhood, so get out your "cutest" running outfit and lets do Princess' birthday right!!!<br /><br />Bring: Virgins<br /> Whistles<br /> Flash lights<br /> Virgins<br /> $7	 
13	FU H3 Hash	fu	Mexicanos Conejo’s Live Lay		Whitney Houston &amp; Wrong Dong Thong	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-run-42-september-6th-open&amp;instance_id=1678	$7.00			8:01 PM CDT	Thursday, September 13, 2012		 
14	Happy Hour	hh	Birthday!		FBS and Princess and the Penis	8:00 PM CDT	Anvil Pub<br />2638 Elm Street<br />Deep Ellum<br />Dallas, Texas	http://goo.gl/maps/W1f3L				7:59 PM CDT	Friday, September 14, 2012	Come out and celebrate FBS' and Princess and the Penis' birthday hash-style this Friday in Deep Ellum. I bet they'll even let you buy them a drink!<br /><br />Where: Anvil Pub in Deep Ellum (2638 Elm Street) - Click here for map.<br />When: Friday, Sept. 14 - 8:00 pm<br /><br />See you there!<br />	 
