1	Special Event!	xx	Tailgate 32			4:00 PM CDT	the parking lot behind Cici's Pizza, across the street from Lot 10 and next to Lot 15.	http://goo.gl/maps/CyUhG	BYOB			7:36 PM CDT	Monday, October 1, 2012	These are 2 hash brothers that are on a quest to see 32 games in 16 weeks. Be a part of hash folklore and cum support them. Plenty of beer and food available and our own Bud Girl will be in tow together with local hashers. I also heard a rumor that Armadildo and HBisYM will be there with a fried turkey.<br /> <br /><a href="http://tailgate32.footballnation.com/">Details</a><br /><br /><a href="http://www.facebook.com/cyndeacuitysmith?ref=ts&amp;fref=ts#!/tailgate32"> Facebook</a><br /><br />GAME 10: Chicago @ Dallas<br /><br />Tailgate starts at 4:00pm CT, kickoff at 7:20pm. Look for the Tailgate32 RV in the parking lot behind Cici's Pizza, across the street from Lot 10 and next to Lot 15.<br />We'll be featuring Boston Lager and Octoberfest from Sam Adams on tap, and we'll be cooking up barbecue on our Big Green Eggs.<br />As always, the food and beer are FREE. Tweet us at @tailgate_32 if you have any questions or are having trouble finding us.<br />On Monday Night Football	 
3	Dallas Urban Hash	du		166	Mouthful	7:00 PM CDT	Rico's Elotes El Tocallo<br />527 Sunset Avenue<br />Dallas, TX 75208	http://goo.gl/maps/S30wH	$7.00			7:34 PM CDT	Wednesday, October 3, 2012	1. This hash can be either shiggy or road. It's entirely up to you, but I would choose road since it's the Cliff and people don't like you running through their yards, it turns out.<br />2. Technology on trail will be required.<br />3. If you listen to or follow More Fingers, Less Palm, it's your own fault if you miss the beer check.<br />4. There will not be any flour. None. Deal with it.<br />5. This is not a competitive event. <br />6. Call or Text me at 214-405-8600 if you get to the start late and are confused.<br />7. If you're smart, you'll come early, bring cash and eat at local establishment. You cannot go wrong with the fabulousness of their tacos.<br />	 
4	FU! Thursday is a Drinking Day!	fh	Houston Street Bar &amp; Patio		Katman Goo	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-thursday-is-a-drinking-day-october-4th-open&amp;instance_id=1784				7:32 PM CDT	Thursday, October 4, 2012		 
5	Happy Hour	hh	Press Box Gril		Bacon Drippn's	7:00 PM CDT	Let’s do Press Box Grill on the SW corner of Elm and Ervay, Downtown Dallas. <br /><br />					7:31 PM CDT	Friday, October 5, 2012		 
6	Dallas Hash	dh	25 Years of Hashing	861	Clodhopper &amp; Condom Mint	3:00 PM CDT	The old Texas Stadium parking lot off of the southbound Loop 12 service road on Texas Plaza Dr.	http://goo.gl/maps/FcJmy	$7.00			7:30 PM CDT	Saturday, October 6, 2012		 
8	NODUH Hash	nd	Columbus Day Hash	61	Condom Mint &amp; <br />More Fingers Less Palm	7:00 PM CDT	Intersection of George Bush and N. Garland Ave	http://goo.gl/maps/ESUrb	$7.00	Friendly if on a leash		7:27 PM CDT	Monday, October 8, 2012	'Cause Monday is a Hashing Day<br /><br />The illustrious hares Condom Mint and More Fingers Less Palm are setting a trail in Garland because BEER.<br /><br />GPS: 32.962893,-96.64437<br /><br />Erections: Intersection of PGBT and N. Garland Ave. Park in the Walmart Supercenter parking lot<br /><br />Bring: a flashlight, change of clothes, and maybe a hardhat. <br /><br /><br />ONON!<br /><br />Condom Mint and More Fingers Less Palm<br />	 
10	Dallas Urban Hash	du	Coulda Woulda Shoulda Hash	167	Wrong Dong Thong &amp; a mystery hare	7:00 PM CDT	Inwood/Love Field Dart Station<br />Southern section of DART parking lot, look for hashers	http://goo.gl/maps/k78Aw	$7.00	Friendly		7:25 PM CDT	Wednesday, October 10, 2012	Coulda Woulda Shoulda Hash <br />When: Wednesday, 10/10<br />Time: 7:00 PM CDT <br />Start address: Inwood/Love Field Dart Station<br />(southern section of DART parking lot, look for hashers)<br />Hare: Wrong Dong Thong<br />Hash cash: $7.00<br />Trail and On-In TURD friendly (on leash) <br />What woulda, coulda, shoulda been a Texas Rangers ALDS hash &amp; watching party is no more. Sucks to be a Rangers fan!<br />Bring virgins, flashlights, whistles, thirst for beer, and more virgins. You will have beer, you will see tits, and maybe a thong or two.<br /><br />Coulda Woulda Shoulda Hash Update:<br /> <br />I picked up a mystery hare, so now you will have two fantastic trails; an eagle and turkey trail. <br />Two hares, two trails, twice the hash, same low hash price: $7.<br />Cum one cum all, drink plenty of beer .. bring virgins, bring your flashlight, bring your whistle and bring your accusations.<br />	 
11	FU H3 Hash	fu			Katman Goo	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-run-47-october-11th-open&amp;instance_id=1761	$7.00			7:24 PM CDT	Thursday, October 11, 2012		 
12	FU H3 Hash	fu	FU Campout			7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-2nd-anal-fall-campout&amp;instance_id=1779	$7.00			7:22 PM CDT	Friday, October 12, 2012		 
12	Happy Hour	hh	Birthday of		Nutweiser, The King of Queers	7:00 PM CDT	Anvil Pub<br />2638 Elm Street <br />Dallas, TX 75226	http://goo.gl/maps/UBXTJ				7:22 PM CDT	Friday, October 12, 2012		 
13	Fort Worth Hash	fw	Birthday Hash Gangnam Style!<br />up up up up sexy rady!	705	My Boyfriend Joe	3:00 PM CDT		http://goo.gl/maps/8UHaX	$7.00			7:21 PM CDT	Saturday, October 13, 2012	So the start of the hash is on the Campion Trail in Irving, but it's not <br />the Campion Trail that you are thinking. It's not even the A point on <br />this <a href="http://goo.gl/maps/8UHaX">Google Map. </a> It's the B point. So if you <br />find yourself around GWB and 635, go to the B point. You may be able to <br />follow the Blue line, but you'll have to drive. Running your finger <br />along the blue line won't get you there. It's still the Campion Trail, <br />but somewhere else. I don't think there'll be an actual blue line in <br />the road, but maybe.<br /><br />Some news about this start. I've never been there before. I don't even <br />know if we can actually get to the start. But it's gonna be a great <br />trail. I can feel it. It's kind of like a blind date with someone who <br />has a "great personality". Your friends will encourage you to go, <br />'cause it'll be "a lot of fun" and "she'll be really great", but she'll <br />turn out butt ugly and you'll have to get wasted just to get through the <br />date. This trail will probably be just like that. Bring a paper bag, <br />maybe 2, this could be a double bagger date, one bag for her and one for <br />you in case her bag breaks.<br /><br />Some general directions:<br />The closest intersection is Hunter Ferrell and S. Nursery Rd. That's <br />like West of Loop 12, South of Shady Grove Road, North of I-30 and East <br />of MacArthur Blvd(not the one in Las Colinas!).<br /><br />It's a Ft Worth Hash and not a contra! So that means Drymple will bring <br />beer! Yay Drimple! - he's not the date, but close 'cause he'll have the <br />beer! He sounds like a most attractive sort of fellow.<br /><br />Bring the usual stuff: dry clothes, wet clothes, drinking clothes, your <br />mother's underwear, etc.	 
