1	Happy Hour	A-to-Z-13.png	Gulping with Gulp<br />Week 6: “Y” to “Z”		Big Gulp	7:00 PM CDT	<br />Ye Olde Nostalgia Place<br />6521 Abrams Rd <br />Dallas, TX 75231	https://maps.google.com/maps?q=Nostalgia+Place+6521+Abrams+Rd++Dallas,+TX+75231&hl=en&sll=32.820665,-96.731542&sspn=0.980955,1.509247&t=m&z=17&iwloc=A	$0.00 — Pay-as-you-go			7:02 PM CDT	Friday November, 1, 2013	Wow — we're already at “Y” and today (11/01) should be the final week of ‘Gulping with Gulp’ (barring any bonus weeks) (possible spoiler alert?).<br /><br />I may have had to cheat a tad, but for two hours only, I got the management of 1 Nostalgia Place to agree to renaming their place “Ye Olde Nostalgia Place” just for nostalgia reasons, along with other reasons (like first the “Yale Street Ice House” changing names to “SMU Blvd Ice House”, and then closing all together).<br /><br />[Note: Don't question the management on this, I've also gotten them to agree to not even acknowledging the name change.]<br /><br />What: Gulping with Gulp: Week 6<br />Where: Ye Olde Nostalgia Place; 6521 Abrams Rd Dallas, TX 75231<br />When: 7pm, Nov 1 (Pork Me Now and Bacon Drippin’s’ Birthday)<br />Hare: Big Gulp<br />Hash Cash: $0 — pay as you go<br /><br /><br />The series so far:<br /><img src="A-to-Z-11.jpg" /><br /><br /><img src="A-to-Z-12.jpg" />	Fri, Nov 1, 2013 at 5:52 PM	 
2	Dallas Hash	dh	FARMER'S BRANCH	890	Moldy Ho	3:00 PM CDT	12800 SENLAC DR.<br />FARMER'S BRANCH, Texas	https://maps.google.com/maps?q=12800+SENLAC+DR.+FARMER%27S+BRANCH,+Texas&hl=en&sll=32.820665,-96.731542&sspn=1.016724,1.303253&hnear=12800+Senlac+Dr,+Farmers+Branch,+Texas+75234&t=m&z=17&iwloc=A	$7.00			7:01 PM CDT	Saturday November, 2, 2013	WHEN: SATURDAY NOVEMBER 2, 2013<br /><br />WHERE: 12800 SENLAC DR., FARMER'S BRANCH<br /><br />TIME: 3 PM<br /><br />HASH CASH: $7.00<br /><br />HARE: MOLDY HO<br /><br /><br />SPECIAL INSTRUCTIONS: CHANGE OF CLOTHS (COULD GET WET), NO FLASHLIGHT, TURD FRIENDLY<br /><br />IF QUESTIONS: 469-216-1055	Sat, Nov 2, 2013 at 3:08 PM	 
2	Family Hash	family.png	Fall Family<br />Hash Run		Bangers ’n Snatch	4:30 PM CDT	<br />Meadowmere Park<br />3000 Meadowmere Lane<br />Lake GrapevinePark	https://maps.google.com/maps?q=Meadowmere+Park&hl=en&ll=32.987284,-97.119226&spn=0.033873,0.066047&sll=32.987284,-97.119226&sspn=0.029302,0.024848&t=m&hq=Meadowmere+Park&z=15	BYOB			7:01 PM CDT	Saturday, November 2, 2013	The hash run portion of the family hash will be starting at the Meadowmere Park soccer fields right outside the campground. The start time will be 3pm. It's the same as last family hash campout here :)<br /><br />FAMILY HASH RUN INFO<br /><br />Cost: Freeeeeeee ($0 for you half minds)<br /><br />Time: 3pm Saturday November 2<br /><br />Address:3000 Meadowmere Lane, Grapevine, TX 76051<br /><br />GPS :<br />Lat/Long: 32.9819417 / -97.11986<br /><a href="http://goo.gl/maps/Yh8l0">Park Here!</a>	Sat, Nov 2, 2013 at 3:08 PM	 
4	NODUH Hash	nd	Next Time<br />Take The Train	89	Martha F. Stewart	7:00 PM CST	<br />Bush Turnpike Station<br />Red Line<br />1300 E. President George Bush Turnpike<br />Richardson, TX 75082	https://maps.google.com/maps?q=bush+turnpike+station&hl=en&ll=33.003589,-96.70018&spn=0.013784,0.016608&sll=32.820665,-96.731542&sspn=0.742061,0.789642&hnear=Bush+Turnpike+Station+West&t=m&z=16&iwloc=A	$7.00			5:59 PM CST	Monday, November 4, 2013	Time: 7:00pm<br /> <br />Start: Bush Turnpike Station<br /> Red Line<br /> 1300 E. President George Bush Turnpike<br /> Richardson, TX 75082<br /> <br />Hare: Martha F. Stewart<br /> <br />Hash Cash: $7.00<br /> <br />Bring: Flashlights – It’s dark now<br /> Dry shoes (maybe)	Sun, Nov 3, 2013 at 4:32 PM	 
5	Tasty Tuesdays	tt	The Lake House		Red Rocket Rider<br />Clodhopper	7:00 PM CST	<br /> Lake House White Rock Bar & Grill<br />7510 E Northwest Hwy, Dallas, TX ‎<br />Across the street from the White Rock DART Station<br />(214) 484-8624	https://maps.google.com/maps?q=Lake+House+White+Rock+Bar+%26+Grill&hl=en&sll=32.915469,-96.751719&sspn=0.522811,0.530777&hq=Lake+House+White+Rock+Bar+%26+Grill&t=m&z=11&iwloc=A				5:58 PM CST	Tuesday, November 5, 2013	<br />Three dollar Texas pint night.<br /><br /><a href="http://www.lakehousewhiterock.com">lakehousewhiterock.com</a>	Tue, Nov 5, 2013 at 1:25 PM	 
6	Dallas Urban Hash	du	Last chance to catch<br />me on a live lay	223	Fucking Beaver Shit	7:00 PM CST	<br />Lee Harvey's<br />1807 Gould St<br />Dallas, TX 75215	http://goo.gl/maps/ZWgVi	$7.00			5:58 PM CST	Wednesday November, 6, 2013	I'll lay one more DUHHH, then I'm out of here.<br /><br />Start tomorrow is Lee Harvey's<br />1807 Gould St<br />http://goo.gl/maps/ZWgVi<br />7:00<br />Turd friendly and encouraged.<br /><br />Last chance to catch me on a live lay.<br /><br /> - fbs	Tue, Nov 5, 2013 at 5:41 PM	 
7	FU! Thursday is a Drinking Day!	fh	Marina's Restaurant & Club		Cockless Monster	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=fuh3-thursday-is-a-drinking-day-november-7th-super-homo&instance_id=2409				5:57 PM CST	Thursday, November 7, 2013		Tue, Nov 5, 2013 at 5:06 PM	 
8	Happy Hour	hh	Aquatic Weapon<br />Latex Bomb Party		EeeyWhore	6:30 PM CST	<br />EeeyWhore’s House<br />1306 Bennett Drive<br />Arlington Tx 76013	https://maps.google.com/maps?q=1306+Bennett+Drive+Arlington+Tx+76013&hl=en&sll=32.820665,-96.731542&sspn=1.006344,1.086273&hnear=1306+Bennett+Dr,+Arlington,+Texas+76013&t=m&z=17&iwloc=A	BYOB — and meat or a side dish	Hostile		5:56 PM CST	Friday November, 8, 2013	Time: 6:30pm - ?<br />Location: 1306 Bennett Drive, Arlington Tx 76013<br />Host: EeeyWhore<br />Turd Friendly? NOOO, Dog Agressive TURD on premises, please leave your Turds at home<br /> <br />Description: <br />Cum out to the opening ceremonies for the Marine Corps hash on Friday November 8th for a celebration unlike you have ever experienced before. The opposing countries will eat, drink and be merry together as one before the battle of Mosier Valley takes place the following day.<br />FYI: Crashspace is available, bring a pillow and blanket, maybe a blowup mattress<br /> <br />Bring a side dish or meat for the grill<br />BYOBs<br />ICE<br />Chair<br />Dry Clothes<br />Towel<br />Firewood<br /> <br />If you battled last year, you are already aligned with a country and should dress accordingly for the opening ceremonies as well as the battle:<br /> <br />Klopstokia - Red and Black<br />Fredonia - Tie Dye/Rainbow<br />Lichenstein - Blue<br />Picklevania - Green<br /><br />No Country? we will choose sides before the hash<br /> <br />"Women Folk are particularly needed for their dexterity in bomb making, Let's make this the best war CNN never covered" ~ Gangrene Hose<br />	Mon, Nov 4, 2013 at 1:30 PM	 
9	Fort Worth Hash	fw	Marine Corps Hash	733	S.O.A P, Jock Doc <br />&amp; Gangrene Hose	2:07:49 PM CST	<br />Mallard Cove Park<br />375 Shadow Grass Ave<br />Fort Worth, TX ‎76120	https://maps.google.com/maps?q=375+Shadow+Grass+Ave+Fort+Worth,+TX+%E2%80%8E76120++&hl=en&ie=UTF8&sll=32.784352,-97.200787&sspn=0.01454,0.014269&hnear=375+Shadow+Grass+Ave,+Fort+Worth,+Texas+76120&t=m&z=17&iwloc=A	$7.00 &mdash; BYOB prelube beer			2:07:49 PM CST	Saturday November, 9, 2013	Passions are running a muck in Mosier Valley. The tenuous truce talks taking too long and trebling terrible trouble today. Picklevania has been accused of provocative plans to plant pickle patches for perverse purposes. Klopstockia is against the glorification and consumption of pickles. Fredonia is for cultivation of organic pickles. One Fredonian official said " Its cool like you know.". A communique from Lichtenstein insisted "Pickles aren't that great with bier." Given this impasse hostilities will commence soon. Scores may be liquidated.<br /><br />Marine Corps Hash<br /><br />Hares: Son of A Peach, Jock Doc, Gangrene Hose<br /><br />Start: 2:07:49 PM Note start time! <br /><br />Where: Mallard Cove Park 375 Shadow Grass Ave, Fort Worth, TX ‎76120 <br /><br />GPS :N24° 46.724 E 141°19.539 <a href="http://goo.gl/maps/AB0Fk">Which will take you here</a><br /><br />What to bring: Your collective asses,aquatic weapons, drinking vessel, change of clothes, hydrophobia	Mon, Nov 4, 2013 at 7:31 PM	 
12	Tasty Tuesdays	tt	Jack Mac's<br />Swill & Grill		Yellow Rose<br />of Texas	5:30 PM CST	<br />Jack Mac's Swill & Grill<br />19009 Preston Road<br />Dallas, TX 75252<br />(972) 267-2782	https://maps.google.com/maps?q=Jack%27s+Swill+and+Grill&hl=en&ll=33.009851,-96.795344&spn=0.011588,0.013196&sll=32.820665,-96.731542&sspn=0.661277,0.716858&t=m&hq=Jacks+Swill+and+Grill&z=16&iwloc=A				5:54 PM CST	Tuesday, November 12, 2013	hashers, <br /><br />Tasty Tuesday is on a roll. We're taking it to Jack's Swill and Grill. They are having a special night of wings and Texas beer. Sounds like a winner. Come out and play with us. <br />Clodhopper, please post the details to the website.<br /><br />Deets: <br />Tasty Tuesday- November 12<br />Time: starting at 5:30<br />Location: Jack's Swill and Grill- it is on Preston, between Frankford and the George Bush<br />Website: <a href="http://jackmacs.com/texas-beer-on-tap/"> click here</a><br />- Yellow Rose of TexASS<br /><br />PS- anyone can claim a Tasty Tuesday.<br />	Sat, Nov 9, 2013 at 12:38 PM	 
13	Dallas Urban Hash	du	THIS	224	Blonde Dyke Bar <br />&amp; Just John	7:00 PM CST	Where: Mocking Bird Station Parking lot at about – 4419 Worcola St., Dallas, Tx, 75206, 373 ft N or 32.838914,-96.772052<br /><br />	https://maps.google.com/maps?q=+32.838914,-96.772052(Park+Here)&hl=en&sll=32.820665,-96.731542&sspn=1.082511,1.161804&t=m&z=17&iwloc=A	$7.00	Not Friendly		5:53 PM CST	Wednesday November, 13, 2013	Dallas Urban Hash!<br /><br />Wednesday, November 13, 2013<br /><br />Hash No. 224<br /><br />Time: 7:00 PM CST<br /><br />Where: Mocking Bird Station Parking lot at about – 4419 Worcola St., Dallas, Tx, 75206, 373 ft N or 32.838914,-96.772052<br /><br />Hares: Blond Dyke Bar and Just John<br /><br />Hash Cash: $7.00<br /><br />TURDs: Not Friendly (Trail is Friendly but the On-In is NOT)<br /><br />Description: Bring: Lots of virgins, flashlights, something orange to wear, and whatever other crap you like to carry.<br /><br />November is Sweet Potato Awareness Month so dress like a sweet potato and wear orange!<br /><br />This trail has been completely designed by Just John and is being laid with the help of Blond Dyke Bar so expect no less than a really shitty shitty trail. There will be almost no shiggy and a couple of surprises along the way. There will be lots beer and a surprise beverage to warm y’all up! So cum on out and run this extremely shitty trail with us! Bring your own Pre-lube.	Tue, Nov 12, 2013 at 8:52 AM	 
