DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Fort Worth Hash	fw	Labor Day Hash<br /><span style="color:#f00;">NEW START</span>	754	Niece BDB <br />& Uncle GH	3:00 PM CDT	<br />Mike Lewis Park<br />2410 N Carrier Pkwy<br />Grand Prairie, TX 75050<br />	https://www.google.com/maps/place/Mike+Lewis+Park/@32.784828,-97.026994,17z/data=!3m1!4b1!4m2!3m1!1s0x864e86b669fcad7f:0xfd8cd111faaccba8	$7.00 &mdash; BYOB prelube &mdash; Virgins pay nothing!			8:17 PM CDT	Monday, September 1, 2014	Labor Day Hash<br /><br />Hash Cash: 700 Pennies<br /><br />When: 3:00PM<br /><br />Where:Mike Lewis Park<br />2410 N Carrier Pkwy<br />Grand Prairie, TX 75050<br /><br />Hares: Niece BDB and Uncle GH<br /><br />How: New Balance, Saucony, Nike, Brooks, Chuck Taylor's<br /><br />What the Hell?! Isis use to be the Egyptian goddess of magic and love. But I digress...  Bring stuff. You know the drill. Don't be a wanker. Elk, porcupines and marmots have been spotted. What makes a muskrat guard his musk? Courage!<br /><br /> 	Mon, Sep 1, 2014 at 12:53 PM (cwinborn)
3	Dallas Urban Hash	du	Colosal Boob Center	265	III	7:00 PM CDT	Cold Beer Company<br />110 Exposition Ave<br />Dallas, Tx 75226	https://www.google.com/maps/place/110+Exposition+Ave,+Dallas,+TX+75226/@32.7854426,-96.7742589,17z/data=!3m1!4b1!4m2!3m1!1s0x864e98c1bb64faed:0xab9fbfb96c53d5af	$7.00	Yes!		8:14 PM CDT	Wednesday, September 3, 2014	New Bar! Next to last week’s start.<br /><br />III's trail tomorrow will start 110 Exposition at Commerce at the Cold Beer Company or CBC - near the start from last week.<br /><br />Hopefully there will be boob checks or the name will be a waste.<br /><br />Turds welcome at On In<br />And yes they have food <br />Plus a nice patio <br /><br />Please contact III if you have questions!	Tue, Sep 2, 2014 at 11:01 PM (John)
4	FU H3 Hash	fu			 I am NOT Spartacus	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=open-fuh3-108-august-21st-open-2&instance_id=2820	$7.00			8:13 PM CDT	Thursday, September 4, 2014		Mon, Jul 7, 2014 at 10:06 AM (cwinborn)
5	Happy Hour	hh				7:00 PM CDT						8:12 PM CDT	Friday, September 5, 2014		Sun, Nov 10, 2013 at 1:06 AM
6	Dallas Hash	dh	3rd Anal<br />Divorce Hash 	912	Deodorcunt<br />12 Below<br />Martha F Stewart	4:00 PM CDT	704 East FM 544, Murphy, TX  75094<br /><br />Please note - if you just enter the address into google maps, it will direct you to a shopping center west of my house.<br />My driveway is between Maxewell Creek Rd and McCreary Rd. There is a light at both intersections (2nd and 3rd light from 544 and Murphy Rd respectively). 4th driveway on the rt when coming from Maxwell Creek Rd.. Right before the CVS. It's a gravel driveway.	https://www.google.com/maps/place/33%C2%B000'40.2%22N+96%C2%B035'50.8%22W/@33.0111688,-96.5974501,16z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0	$7.00	Yes		8:10 PM CDT	Saturday, September 6, 2014	It's that time of year again, time to celebrate your freedom!!! That's right...another siggylicious divorce trail is upon us to bring back memories of the muck you've made it through. So cummemorate your divorce and/or celebrate your newly found or impending freedom with the Hash!!!<br /><br />This year's hash is a combo trail & camping event on 12 Below's land with a Texas themed On After Party. Cum ready to hash, and bring your boots and cowboy hats for the On After Party. <br /><br />Bring a change of clothes, Tecnu, flashlights, whistles, bug spray/Deodorcunt fans, sunscreen, virgins, your sense of fun & adventure, a camp chair, camping gear, and something to share at the On After Party. And a drinking vessel…’cause I swear to my attorney, you will NOT want to drink out of your shoes ;-) <br /><br />This year's On After Party is Texas Themed. 12 Below will be cooking brisket, and we'll be providing a good Texas beer, plates, utensils and napkins. Bring a dish to share & whatever booze you’d like to drink. Texas booze is encouraged y'all! We need a head count so 12 Below knows how much brisket to buy and how many people will be camping on his land. Cum party with us post trail or join the party in progress if you can’t make trail.	Tue, Sep 16, 2014 at 4:56 PM (cwinborn)
7	Down-Downs for Sympathy	sympathy.png	The Pump<br />Arlington		Skippy &amp; Eeeywhore	5:01 PM CDT	The Pump Sports Bar<br />601 North Watson Road, <br />Arlington, Tx 76011	http://goo.gl/maps/lDhDY				8:09 PM CDT	Sunday, September 7, 2014	In Remembrance of Sympathy Fuck, Skippy and Eeeywhore would like to invite everyone to cum drink at Sympathy's favorite watering hole The Pump on Sunday night immediately following the visitation.  We shall raise many glasses in his honor.  Bring a dish to share (or not) and bring anything you would like to throw on the grill. We will also have a short mammorial hash circle and Swing Low for our friend who will be greatly missed.<br /><br /><span style="color:#a0a;">Bring hash clothes and a 6 PACK. There will be a short hash trail at 6pm ish. Sympathy's Daughter Tiffany will be our Virgin for this trail and is super excited to do a trail in her dad's honor. </span><br />	Sat, Sep 6, 2014 at 11:40 AM (cwinborn)
8	NODUH Hash	nd	Galatyn Park	112	Worker Bee	7:00 PM CDT	Plaza Blvd and Performance Ct.<br />Next to the Galatyn Park DART station<br />Richardson	https://www.google.com/maps/place/32%C2%B059%2706.5%22N+96%C2%B042%2733.9%22W/@32.9851365,-96.709428,15z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0	$7.00			8:08 PM CDT	Monday, September 8, 2014	Worker Bee has graciously volunteered to lay a trail at the last minute.  So those of you who heard rumors about a different hare and decided to skip tonight can come out instead.<br /><br />The start has been chosen, but the trail has not been scouted or laid yet.  So I can't tell you much about what to expect.<br /><br />Worker Bee tells me shiggy will probably be light if any - unless he sees something interesting to run through.<br /><br />So no guarantees, prepare accordingly.<br /><br />Bring flashlights, virgins, etc.	Mon, Sep 8, 2014 at 1:57 PM (cwinborn)
10	Dallas Urban Hash	du	Mockingbird Station	266	Nekkid Kenny	7:00 PM CDT	Mockingbird Station Parking Lot<br />North East Corner	https://www.google.com/maps/place/32%C2%B050%2720.3%22N+96%C2%B046%2719.1%22W/@32.838978,-96.771977,17z/data=!4m2!3m1!1s0x0:0x0?hl=en	$7.00			8:05 PM CDT	Wednesday, September 10, 2014	Bring a flashlight: It gets dark at 8 PM and the moon doesn’t rise until 9.	Tue, Sep 9, 2014 at 3:55 PM (cwinborn)
11	FU! Thursday is a Drinking Day!	fh	Martin House Brewery		Katman Goo	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=open-fuh3-thursday-is-a-drinking-day-august-28th-open&instance_id=2830				8:03 PM CDT	Thursday, September 11, 2014		Tue, Aug 26, 2014 at 3:12 PM (cwinborn)
12	Happy Hour	twilight.png	Twilite Lounge		Princess<br />and the Penis	6:00 PM —ish<img style="float:right;" src="twilite.png" />	<br />Twilite Lounge<br />2640 Elm St,<br />Dallas, Texas 75226	https://www.google.com/maps/place/Twilite+Lounge/@32.784265,-96.78493,17z/data=!3m1!4b1!4m2!3m1!1s0x864e98ddbce03d73:0xfbc15415baa00149						This week's Happy Hour!!! <br /><br />Happy Hour 09/12/14. Come on down to Deep Ellum to Twilite Lounge and help Princess and the Penis (aka Danielle) celebrate her day of birth! They have Jack & Coke Slurpees! YUM! I will get there a little after 6pm if anyone wants to join a little early!<br /><br />Time: 6pm-ish<br />Where: Twilite Lounge, 2640 Elm St, Dallas, Texas 75226<br />Hash Cash: Pay as you go!<br /><br /><a href="http://thetwilitelounge.com/">The Twilite Lounge</a><br /><br />	Thu, Sep 11, 2014 at 2:21 PM (cwinborn)
