DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	TWILIGHT	DESC	UPDATE
1	Dallas Urban Hash	du	2nd Anal Fucking Race-ists Bastards	269	Worker Bee &<br />Whitney MF Houston	7:00 PM CDT	 Parkdale Park<br />3885 Lawnview Avenue<br />Dallas, 75227 	https://www.google.com/maps/place/3885+Lawnview+Ave,+Dallas,+TX+75227/@32.7761331,-96.7177263,17z/data=!3m1!4b1!4m2!3m1!1s0x864ea2455ba55db7:0x989d35fd0635493c	$7.00	NOT Friendly		7:36 PM CDT	Wednesday, October 1, 2014	Hares:  Worker Bee and Whitney MF Houston<br />Start location is Parkdale Park - 3885 Lawnview Avenue, Dallas, 75227  https://goo.gl/maps/7EAo1<br />On-In doesn't have food or booze - if you want any of that, you'll need to bring your own.<br />Gather time at 6:30, Pack away at 7:00 (and we're going to be leaving pretty quickly to maximize daytime)<br />Trail is A to A' - less than 1/3 mile from start location to on-in.<br />Trail is <strong>***NOT***</strong> TURD friendly.<br /><br />BRING FLASHLIGHTS!  We're not kidding this time.  It's starting to get dark out there soon, people.	Wed, Oct 1, 2014 at 10:40 AM (cwinborn)
2	FU H3 Hash	fu			Just Darryl	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-112-october-2nd&instance_id=2889	$7.00			7:35 PM CDT	Thursday, October 2, 2014		Thu, Sep 25, 2014 at 5:31 PM (cwinborn)
3	Happy Hour	hh			Just Melissa<br />& Deodorcunt	7:00 PM CDT	 760 Middle Cove<br /> Plano, TX 75023	https://www.google.com/maps/place/760+Middle+Cove+Dr,+Plano,+TX+75023/@33.052876,-96.707691,17z/data=!3m1!4b1!4m2!3m1!1s0x864c184b23a32fd7:0x357f0e4175d390ee				7:34 PM CDT	Friday, October 3, 2014	Wine With The Bard (Yes, you can still drink beer.)<br />The wine-cup is the little silver well,<br />Where truth, if truth there be, doth dwell<br /><br />Time: 6:00 pm<br /><br />Start: 760 Middle Cove<br />          Plano, TX 75023<br /><br />Hares:  Deodorcunt & Just Melissa <br /><br />Description:  We love wine & Shakespeare and invite you to join us for both.  We will be watching Taming of the Shrew and Much Ado About Nothing whilst swilling wine & feasting on tasty food. Bring food and booze to share.  The grill is open should you want to use it.  As always, crash space is available for drunkards.<br />	Sat, Sep 27, 2014 at 10:57 AM (cwinborn)
4	Dallas Hash	dh	27 Years<br />of Hashing	914	Clodhopper	3:00 PM CDT	<br />2629 E Grauwyler Rd<br />Irving, Texas	https://www.google.com/maps/place/2629+E+Grauwyler+Rd,+Irving,+TX+75061/@32.831096,-96.9046879,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9cc35fa880d7:0x9f7273f0ec12c5a8	$7.00			7:32 PM CDT	Saturday, October 4, 2014	2629 E Grauwyler Rd<br />Irving, Texas<br />The building is for sale, so I don't think we will be towed.<br /><br />NO swimming NO  Poison Ivy, and, unlike Wednesday’s DUH — NO Climbing. Urban trail. I am trying to keep it under 4 miles.<br /><br />OK, I lied. There will be a little bit of climbing. But it won't be anything that a 67 year old asplenic with a pacemaker and an artificial hip can't handle.	Sat, Oct 4, 2014 at 9:45 AM (cwinborn)
6	NODUH Hash	nd	Kris' Virgin Lay	115	Blonde Dyke Bar<br />& Just Kris	7:00 PM CDT	<br />Valley View Park<br />Dallas, TX 75240 <br />(Hillcrest Road and Valley View Lane)	https://www.google.com/maps/place/Valley+View+Park/@32.926638,-96.783532,17z/data=!3m1!4b1!4m2!3m1!1s0x864c205afc70947f:0xf650bd504067cb2d	$7.00	Friendly		7:30 PM CDT	Monday, October 6, 2014	Start location: Valley View Park, Dallas, TX 75240 (Hillcrest Road and Valley View Lane)<br /><br />Hares: BDB and Just Kris<br /><br />Meet: 6:30pm<br />Pack Away: 7:00pm<br /><br />This is Just Kris’ Virgin Lay so it will probably be short and<br />sloppy— jk ?<br /><br />What to bring:<br />$7 Hash Cash<br />BYOB please be discrete this is a public park<br />Flashlight, Bug Spray, and Virgins<br /><br />Additional Info:<br />We will provide vessels at Beer Check <br />It is Turd Friendly<br />It is an A to B trail— we will drop off beer at on in and then give ppl rides to their cars, then start circle, to get the non sense about cars settled ahead of time!<br /><br />We will see y’all tomorrow! ON ON<br /><br />BDB and Just Kris<br />	Sun, Oct 5, 2014 at 7:00 PM (cwinborn)
8	Dallas Urban Hash	du	Return to<br />Club Schmitz	270	My Boyfriend Joe	7:00 PM CDT<img src="schmitz.png" style="float:right;" />	<br />Park at Bachman Station<br />9739 Denton Dr, Dallas, TX 75220<br />and walk to Club Schmitz<br />		$7.00			7:27 PM CDT	Wednesday, October 8, 2014	<br />So Clod kindly reminded me last night that I was haring.  I think he <br />told me Saturday too, but I ignored him.  We all love(d) Club Schmitz. <br />Some of us refuse to admit that it is gone.  We'll just have to see for <br />our selves.<br /><br />Dart-Bachman Station<br />9739 Denton Dr<br />Dallas, TX 75220<br /><br />Should be about 5 miles total.  Some uneven ground so be prepared. <br />Bring a flashlight, supposed to be close to a full moon but bring a <br />flashlight anyway.  Did I say to bring a flashlight?  It's supposed to <br />be close to a bloody moon, but that shouldn't happen unless you bust <br />your ass on trail.  In any case we may or may not want to see it.  Your <br />feet should not get wet unless you piss yourself over how shitty this <br />trail is.  Turds on trail are cool, but I'm not sure about the ON-IN.<br /><br />You have not run this trail before.  If you have you are delusional and <br />should fit right in with this nutty group.  Either that, or you are a <br />time traveler, who has run this trail in the past and came back to do it <br />again.  If that's the case, you better have some solid financial advise <br />for me, but I'm not sure I want to take advice from someone stupid <br />enough to run this trail twice, especially when I haven't even run it <br />once yet!<br /><br />See you in the future or the past or somewhere in between.<br /><br />Long live Club Schmitz!!!<br /><br /><br />P. S.  — $15.00 for a pirate shirt :)<img src="tshirt.jpg" style="float:right;" /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />	Tue, Oct 7, 2014 at 7:53 PM (cwinborn)
9	FU! Thursday is a Drinking Day!	fh	Kickball<br />Happy Hour!		Always Cums Last	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-thursday-is-a-drinking-day-october-9th&instance_id=2886				7:26 PM CDT	Thursday, October 9, 2014		Tue, Oct 7, 2014 at 11:36 AM (cwinborn)
10	Happy Hour	hh	Executive Decision HH			7:00 PM CDT	<br />Rock Creek Campground<br />Chickasaw National Recreation Area, Oklahoma<br />34.49806,-96.98637	https://www.google.com/maps/place/34%C2%B029%2753.0%22N+96%C2%B059%2710.9%22W/@34.49806,-96.98637,992m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0				7:25 PM CDT	Friday, October 10, 2014	First Anal FWH3 and OKW3H3 Hash Campout<br /><br />Where: Rock Creek Campground at the Chickasaw National Recreation Area, Oklahoma<br />http://www.nps.gov/chic/planyourvisit/gps.htm<br /><br />From I-35, take Exit #55 and drive towards the city of Davis, OK. Once in Davis , go east on Highway 7 to the Chickasaw National Recreation Area you desire. Watch for Chickasaw National Recreation Area signs to direct you to your selected area. Rock Creek Campgrounds. Drive approximatley 7 miles east of Davis to the traffic light (12th street) in the city of Sulphur. Turn south (right) for approximately .6 miles on 12th Street. Turn west (right) at the STOP sign. Bromide Pavilion is the 2nd left off NW Perimeter Road. For Rock Creek or Veterans Lake Pavilion continue west, cross the low water crossing, and follow the signs.	Fri, Oct 10, 2014 at 11:17 AM (cwinborn)
11	Fort Worth Hash	fw	1st Anal<br />FW & OK Joint Campout	757		3:00 PM CDT	Rock Creek Campground <br />Chickasaw National Recreation Area, Oklahoma<br />34.49806,-96.98637	https://www.google.com/maps/place/34%C2%B029%2753.0%22N+96%C2%B059%2710.9%22W/@34.49806,-96.98637,992m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0	$15 for Friday and Saturday Camping (this includes beer, but bring more just in case!!)	YES...if they are well behaved and friendly		7:24 PM CDT	Saturday, October 11, 2014	First Anal FWH3 and OKW3H3 Hash Campout<br />When : October 10th-12th<br /> <br />Hares: FW and OK Hash Admins<br /> <br />Hash Cash : $15 for 2 nights of Camping<br /> <br />BYOFOOD, BYO extra adult beverages<br /> <br />Turds: YES...if they are well behaved and friendly<br /> <br />Where: Rock Creek Campground at the Chickasaw National Recreation Area, Oklahoma<br />http://www.nps.gov/chic/planyourvisit/gps.htm<br /> <br />From I-35, take Exit #55 and drive towards the city of Davis, OK. Once in Davis , go east on Highway 7 to the Chickasaw National Recreation Area you desire. Watch for Chickasaw National Recreation Area signs to direct you to your selected area. Rock Creek Campgrounds.  Drive approximatley 7 miles east of Davis to the traffic light (12th street) in the city of Sulphur. Turn south (right) for approximately .6 miles on 12th Street. Turn west (right) at the STOP sign. Bromide Pavilion is the 2nd left off NW Perimeter Road. For Rock Creek or Veterans Lake Pavilion continue west, cross the low water crossing, and follow the signs.<br /> <br />Description:<br /> <br />Cum and camp in beautiful Chickasaw National Recreation Area where will attempt to "Break the Stupid Laws" of Oklahoma.  Bring Camping Supplies, Food to Eat, Drinks to Drink, Blowup Dolls, Sex toys, Twister, Cards Against Humanity, Hula Hoops, and the kitchen sink. **There are no electricity hookups at campsites<br /> <br />Hash Cash is ONLY $15 for Friday and Saturday Camping (this includes beer, but bring more just in case!!)<br /> <br />ON ON!<br /> 	Tue, Oct 7, 2014 at 9:25 PM (cwinborn)
11	Deep Ellum Contra Pub Crawl	crawl.png	Contra Pub Crawl		Daddy's Big Load<br />Mystery Hare	3:01 PM CDT	Exact start location -- TBD					7:24 PM CDT	Saturday, October 11, 2014	Contra-Hash -- Pub Crawl in Deep Ellum<br />Oct 11, 2014 - 3pm<br />For those not go to Sucklahoma for the campout<br />Exact start location -- TBD<br />Hares: Daddy's Big Load and Mystery (Visiting) Hare	Thu, Oct 2, 2014 at 3:28 PM (cwinborn)
12	Sunday Brunch	sb	Join us for<br />FUCK Brunch!		Daddy's Big Load	11:00 AM CDT	<br />Anvil Pub<br />2638 Elm St, Dallas, TX 75226	https://www.google.com/maps/place/Anvil+Pub/@32.784197,-96.785041,17z/data=!3m1!4b1!4m2!3m1!1s0x864e98ddbd79d24d:0x7d842665d93a5a59				7:22 PM CDT	Sunday, October 12, 2014	Drinking on Jesus Day<br /><br />Join us for FUCK Brunch!<br /><br />Anvil Pub<br />2638 Elm St, Dallas, TX 75226<br />Oct 12 @ 11am<br /><br />Contact me if you want a seat. If you don't let me know you will have to fend for yourself.<br /><br />Daddy's Big Load	Mon, Oct 6, 2014 at 4:29 PM (cwinborn)
14	Happy Hour	triviaTuesdays.png	Malarkey’s Tavern		Blond Dyke Bar	7:00 PM CDT	<br /><a href="http://www.malarkeystavern.com/">Malarkey's Tavern</a><br />4460 Trinity Mills Rd<br />Dallas, TX 75287	https://www.google.com/maps/place/Malarkey%27s+Tavern/@32.989746,-96.831213,17z/data=!3m1!4b1!4m2!3m1!1s0x864c23f9148e0fcb:0x3d508e132e71713d				7:20 PM CDT	Tuesday, October 14, 2014	Tonight is Trivia Tuesday at Malarkey's off Tollway and Trinity Mills. Starts at 7:30. Cum play with us. Also get there early if you can. Hope to see you tonight.	Mon, Oct 13, 2014 at 9:09 PM (cwinborn)
15	Dallas Urban Hash	du	Are we dead yet?	271	Queen Ebola III	7:00 PM CDT	6556 Skillman St.<br />Dallas, Tx 75231	https://www.google.com/maps/place/6556+Skillman+St,+Dallas,+TX+75231/@32.8654373,-96.742408,19z/data=!4m2!3m1!1s0x864ea025b96f8f81:0xcdf5330eddc9ea00	$7.00	Trail: Yes, On In: No		7:19 PM CDT	Wednesday, October 15, 2014	Queen Ebola the III strikes again! Let's see how long this one will last...what?!? Too soon??<br /><br />Don't forget your hazmat suits, medical masks, hand sanitizer, and goggles. But for reals: bug spray, flashlights, whistles, and virgins. 	Wed, Oct 15, 2014 at 1:22 AM (John)
16	FU H3 Hash	fu			S.O.A.P. & Just Robert	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-113-october-16th&instance_id=2885	$7.00			7:18 PM CDT	Thursday, October 16, 2014		Tue, Oct 14, 2014 at 10:30 PM (cwinborn)
17	Poker Night	poker.png	B-Day Bash<br />&amp; Poker Game		Deadhead	7:00 PM CDT	<br />309 Maloney Court<br />Euless 76040<br />817-689-9363	https://www.google.com/maps/place/309+Maloney+Ct,+Euless,+TX+76040/@32.83368,-97.074956,17z/data=!3m1!4b1!4m2!3m1!1s0x864e808a713422cd:0x91c06a45d69ffa83	BYOB — $20 buy in.			7:17 PM CDT	Friday, October 17, 2014	Tomorrow "HH" is at Deadhead/Tanned Peaches home, for deadhead "Birthday Bash". BYOB, snacks/foods will be provided. Poker game start right 7:15pm please be on time if you going to play.<br />Buy in $20 winners will split 80/20. gathering start around 6:30. See y''all then...<br />	Thu, Oct 16, 2014 at 11:17 AM (cwinborn)
