DAY	KENNEL	ICON	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Dallas Hash	dallas.png	New Year’s Day<br />Pretty in <span style="color:magenta;">Pink</span>	948	Penis Fly Crap	1:00 PM	<br />Reno’s Chop Shop<br />210 N. Crowdus<br />Dallas, TX 75226 	https://www.google.com/maps/place/Reno's+Chop+Shop+Saloon/@32.7851996,-96.7857523,17z/data=!4m6!1m3!3m2!1s0x864e98dd0fb0beb3:0x43f4c92428a60f53!2sReno's+Chop+Shop+Saloon!3m1!1s0x864e98dd0fb0beb3:0x43f4c92428a60f53	$15.00 - $20.00	 Trail is friendly, On-In is not!		5:59 PM	Friday, January 1, 2016	<br /><br /><em>What?</em>    Pretty in <span style="color:magenta;">Pink</span> - New Year’s Day Hash<br /><br /><em>When?</em>    New Year’s Day! Didn’t I just say that? (Friday, 1/1/16)<br /><br /><em>Time?</em>    1:00 pm Gather, On-Out? Approx. 1:30 pm<br /><br /><em>Start Address?</em>    Reno’s Chop Shop, 210 N. Crowdus, Dallas, TX 75226 (Best to pay for parking it should only be $2 if out by 6pm at 2820 Indiana St., Dallas). If you take the train in...get off (hehe) at either the Deep Ellum Station or the Baylor Station.<br /><br /><em>Hare?</em>     Your Hare Raiser — Penis Fly Crap<br /><br /><em>TURDs?</em>    Trail is friendly, On-In is not!<br /><br /><em>Hash Cash?</em>    $15.00, plus a side dish to share--no side dish, then plan on bringing an extra $5!!<br /><br />We’re back to the usual New Year location!! One Beer Check and One Champagne Check (unless the Hare gets a hair up his ass!!).<br /><br />Hash will provide the beer and meat!! Please bring a side dish to share. There will be outlets to plug in your crock pot, you might want to bring an extra extension cord though.<br /><br />We suggest that you attach some identification to your pots, pans, lids, serving utensils, power strips, etc.<br /><br />What better way to start 2016 than in a <span style="color:magenta;">PINK</span> dress (or outfit) with your favorite peeps?? What better way to cure your hangover, than at the Dallas NYD Hash!!<br /><br />I’m sure we will have more to add to this announcement, but your Meister Frau wanted you to have plenty of time to shop for your pretty <span style="color:magenta;">pink</span> dress or outfit!<br /><br /><em>Bring?</em>    Hash Cash...side dish (or extra $5)...vessel...and most of all...BRING VIRGINS!!<br /><br />On-On NYD!<br /><br /><br /><br /><em>P.S.</em> If you are interested in being a part of the Dallas Mis-Management Team, we have the following positions open — just <a href="mailto:heyleigh814@yahoo.com">reply</a> to this email/FB message and let us know what you are interested in:<ul><li><b>GM-Grand Master/Mattress</b> — Makes sure that everyone is doing their job: Blond Dyke Bar</li><li><b>Beer-Meister</b> — Brings the beer, ice, pitchers: <strong>OPEN</strong></li><li><b>Grub-Meister</b> — Brings the snacks: <strong>OPEN</strong></li><li><b>Religious Adviser</b> — Controls the Circle: <strong>OPEN</strong></li><li><b>Hashberdasher</b> — Procures and sells hash stuff: <strong>OPEN</strong></li><li><b>Happy Hour Ho</b> — Schedules the Friday Happy Hours: Closet Porn Star</li><li><b>Joint Masters</b> (2 people) — Responsible for the big events of the year (e.g., camp out, St. Patrick’s Day Hash, NYD Hash): <strong>OPEN</strong></li></ul><br /><em>P.S.S.</em> If any of you have any Lost & Found items that you have collected over the past year of hashes...please bring them to this hash to see if their owners can be found.<br /><br /><em>P.S.S.S.</em> <b>TIT COCK TIT COCK</b> — do you want to do the slide show again this year? If so, please respond and let us know how to send our pics, unless you want to just grab them from the FB site? Thank you!<br />	Tue, Dec 29, 2015 at 2:28 PM (Double)
2	Fort Worth Hash	ftworth.png	Incoming<br />Mismanagement <br />Ugly Suit/Ugly Dress Run Happy New Year 	789	Self Sucker I Cum Quickly/WhoreMonica	3:00 PM	Dunlop Sports Center<br />1500 NW Green Oaks Blvd<br />Arlington, TX 76012<br />United States	https://www.google.com/maps/place/J.W.+Dunlop+Sports+Center/@32.7772958,-97.129801,15.67z/data=!4m2!3m1!1s0x864e7dd1bbf85361:0x390803648912b725	$7.00 &mdash; BYOB prelube beer	Yes: on Trail and On-In		6:00 PM	Saturday, January 2, 2016	Great trail to start off the year! The trail is turd friendly and so is the ON-IN. There will be plenty of beer checks and maybe a shot check. Things to bring: Virgins, Vessels, and maybe dry clothes. The park we are starting at doesn't allow alcohol so please bring vessel. Park at the far side of the parking lot near the tree line. This will be A to B.	1/2/16 8:51 (Anthony) 1.28
3	Sunday Brunch	Brunch.png			Red Rocket Rider	11:00 AM	<br />132 N Peak St<br />Dallas, TX 75226	https://www.google.com/maps/place/132+N+Peak+St,+Dallas,+TX+75226/@32.7908211,-96.7718972,17z/data=!3m1!4b1!4m2!3m1!1s0x864e98b89438a4cb:0x403f03d7c145ca65				6:01 PM	Sunday, January 3, 2016	Sunday Sunday Sunday<br />Brunch at Peak and Elm. <br />BYOB <br />Free Mimosas  from 10 to 12<br />Cum drink with me. <br />10:00 am<br /><br />132 north peak <br />	1/3/16 0:10 (Hopper) 1.28
5	Dallas Urban Mountain Bike Hash	DUMB.png	The Lot	14	Just Tommy	7:00 PM	<br />The Lot<br />7530 E Grand Ave<br />Dallas, TX 75214	https://www.google.com/maps/place/The+LOT/@32.8102965,-96.7291363,15z/data=!4m2!3m1!1s0x0:0xb30fbc64b45173e5 <br />	Pay-as-you-go			6:02 PM	Tuesday, January 5, 2016	<br />Happy 2016<br />Let's drink and ride. <br /><br />Start address:<br /><br />The LOT<br /><br />7530 E Grand Ave<br /><br />Dallas, TX 75214<br /><br />Hares: Just Tommy<br /><br />Hash cash: Pay-as-you-go<br /><br />Description:<br /><br />1st Tuesday Dumb Hash – Happy New Year<br /><br />14th Dumb H3<br />Happy New Year!<br /><br />Cum drink and ride with me to get the new year started off right!!!<br /><br />There is no football or baseball to watch so let’s dink and ride.<br /><br />Depending on the weather there will be a few options on length of the ride, so all the more reason to join.<br /><br />Start: The LOT<br />Date: Tuesday, Jan 5<br />Time:7pm<br />Hash Cash: $0 (pay as you go)<br /><br />The trail will be both road and mountain bike friendly<br /><br />Since its Hew Years, wear something festive to ring in this first DUMB Hash of 2016. <br /><br />The trail won't be long <br />	1/4/16 13:51 (Hopper) 1.28
6	Dallas Urban Hash	DUH.png	Number 69<br />Number 53<br />OT Tavern	335	Clodhopper	7:00 PM	<br />OT Tavern<br />3606 Greenville Ave,<br />Dallas, TX 75206	https://www.google.com/maps/place/OT+Tavern/@32.83161,-96.7720506,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9f6b25f39179:0x8250b4182676fbf3	$7.00			6:03 PM	Wednesday, January 6, 2016	RIP, The Corner Bar	1/5/16 20:42 (Hopper) 1.28
7	FU H3 Hash	fuBird.png			OPEN!	6:00 PM		http://www.fuh3.com/?ai1ec_event=fuh3-january-7th				6:04 PM CST	Thursday, January 7, 2016		Fri, Dec 18, 2015 at 5:04 PM (minimock)
8	Happy Hour	cowboys.png	Coyboys Dancehall		Mouthful of Cock	8:00 PM	<br />Coyboys Dancehall<br />10310 Technology Blvd W,<br />Dallas, TX 75220	https://www.google.com/maps/search/cowboys+dancehall/@32.8596521,-96.9037217,15.76z	Pay-as-you-go			6:05 PM	Friday, January 8, 2016		1/20/16 15:05 (Hopper) 1.28
9	Dallas Hash	dallas.png	Incumming<br />Dallas Admin	949	Dallas Incumming Admin	2:00 PM	Lawnview DART Station, 5968 Scyne Road, Dallas	https://goo.gl/maps/Dj393prY7oG2	$7.00	Yes		6:05 PM	Saturday, January 9, 2016	What kind of trail can you expect from idiots crazy enough to try to lead you half-minds?  Pretty shitty, right?  Well the trail we’ve cooked up will exceed your wildest expectations!  There’ll be none of New Year’s day’s strolling down the brick sidewalks of midtown in your dress.  This won’t be some 7-mile boozed fueled death march either.  You won’t have to dodge any massive locomotives, only those wimpy DART light rail things.   There will be some shiggy, and some beer checks, and enough elevation change to make you think you’re in hill country.  Some have said this area is one of the “Top 10 Spots for Hiking in Dallas”, but if you cum out Saturday you’ll see it’s really one of the “10 Shittiest Spots for Hashing in Dallas!”	Wed, Jan 6, 2016 at 2:46 PM (Penis Fly Crap<br />)
11	NODUH Hash	NoDHHH2.png	It’s Epiphany, Take Down Your Damn Christmas Lights! 	147	Deodorcunt<br />I'm So Rong	7:00 PM	<br />East Plano Bingo<br />2550 14th Street,<br />Plano, TX 75074	https://www.google.com/maps/place/Plano+Bingo/@33.0168265,-96.6826116,17z/data=!3m1!4b1!4m2!3m1!1s0x864c196b84e7fae3:0xfb5aa716c6dc7b91	$7.00	Trail is friendly, On After is not 		6:07 PM	Monday, January 11, 2016	Christmas is over!  The wise men have cum!  Take down your damn lights already!  Just watch, people will sense our playful plot and take down their lights tomorrow.  Either way, we’ll have fun and at least 1 warm shot check for you wankers.  Bring flashlights, virgins, fleece winter wear, a snuggle buddy, hand warmers, and gifts of tribute for Mr. & Ms. TXIH…I’m sure they’ll accept sips of your booze ;-)	1/10/16 8:35 (Hopper) 1.28
12	Trivia Tuesdays	triviaTuesdays.png	Malarkey’s Tavern		Team H<sup>3</sup>	7:00 PM	<br /><br /><a href="http://www.malarkeystavern.com/">Malarkey's Tavern</a><br /><br />4460 Trinity Mills Rd<br />Dallas, TX 75287	https://www.google.com/maps/place/Malarkey%27s+Tavern/@32.989746,-96.831213,17z/data=!3m1!4b1!4m2!3m1!1s0x864c23f9148e0fcb:0x3d508e132e71713d				6:08 PM	Tuesday, January 12, 2016	Tonight is Trivia Tuesday at Malarkey's off Tollway and Trinity Mills. Starts at 7:30. Cum play with us. Also get there early if you can. Hope to see you tonight!	12/1/15 16:15 (Hopper) 1.28
