DAY	KENNEL	ICON	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
0															
0															
0	Bike Hash	bikeHash.png				1:00 PM			$3.00						6/3/17 18:47 (Hopper) 1.31
0	Contra Hash	contra.svg				3:00 PM			BYOB						
0	Dallas Hash	dallas.png				3:00 PM			$7.00						11/16/19 12:18 (Initial Entry) 1.31
0	Dallas Urban Hash	DUH.png				6:30 PM Gather — 7:00 PM Pack away!			$5.00						12/12/20 15:37 (The Hopper) 1.31
0	Dallas Urban Mountain Bike Hash	DUMB.png				7:00 PM			Pay-as-you-go						
0	Fort Worth Hash	ftworth.png				3:00 PM			$7.00 &mdash; BYOB prelube beer						
0	FU H3 Hash	fuh3.png				7:00 PM									
0	FU! Thursday is a Drinking Day!	fuBird.png				7:00 PM									
0	Grapevine Quarterly	GQhash.png				7:00 PM			BYOB						
0	Happy Birthday Happy Hour	happyBirthday.png				7:00 PM									
0	Happy Hour	happy3.png				7:00 PM									
0	KayakH3	kayakh3.png	White Rock Cool Thursday Concerts		Ben Dover R My Panties SHowin'	6:30 PM	White Rock Boat House<br />2920 White Rock Road<br />Dallas, TX 75214	32°49'25.1"N 96°43'49.1"W	BYOB	Friendly				We will kayak across the lake to Martin Rutchik Concert Stage. Anchor off shore. After concert is over, we kayak back across the lake.<br />BYOB, Bring food to share, Beer, Wine, Crackers, What ever floats your boat. Bring head lamps, boat party lights or flashlights. Remember to bring a Life Vest and Whistle...it's the law.<br /><br />All concerts are held on the Martin Rutchik Concert Stage & Lawn.<br />Spring concerts are 7:30 - 9:30 p.m., fall concerts 7:00 - 9:00 p.m. <br /><br />Ben Dover R My Panties Showin'<br />Has a canoe and a double kayak. Fits 4 extra people. For who would like to come, but don’t have kayak. all are welcome.<br /><br />***You must contact Ben Dover 24 hours before the kayaking event if your interested in using one of his canoe or kayaks. Seat fill fast***<br /><br />HEADLINER: <br /><br /><a  href="https://www.dallasarboretum.org/events-activities/cool-thursdays-concert-series/">Band Line up</a><br />	12/29/19 17:06 (The Hopper) 1.31
0	Movie Night	Movie.png			Anal Thrax<br />I-I-I	6:00 PM	<br />Los Lupes & AMC 14<br />Irving Mall<br />3644 Irving Mall<br />Irving, TX 75062	https://www.google.com/maps/place/Irving+Mall/@32.8403959,-96.9966674,17z/data=!3m1!4b1!4m2!3m1!1s0x864e822d65725267:0xc2134946d94956ad						Anal Thrax – Movie HH at Los Lupes at 6:00 or sooner.  HH prices until 7:00.  <br /><br />(same location as Fuddruckers). This place is busy, it’s hopping. A great place.<br /><br />Then see “Bambi” at Irving Mall AMC!  Deets on showtime coming!	10/25/19 10:47 (The Owner) 1.31
0	NODUH Hash	NoDHHH2.png				7:00 PM			$7.00						11/17/19 11:37 (Initial Entry) 1.31
0	Poker Night	poker.png				7:00 PM									2/6/17 11:47 (Hopper) 1.30
0	Sunday Brunch	Brunch.png				11:00 AM									
0	Trivia Tuesdays	triviaTuesdays.png	Malarkey’s Tavern		Team C U  Next Tue	7:00 PM	<br /><br /><a href="http://www.malarkeystavern.com/">Malarkey's Tavern</a><br /><br />4460 Trinity Mills Rd<br />Dallas, TX 75287	https://www.google.com/maps/place/Malarkey%27s+Tavern/@32.989746,-96.831213,17z/data=!3m1!4b1!4m2!3m1!1s0x864c23f9148e0fcb:0x3d508e132e71713d						Tonight is Trivia Tuesday at Malarkey's off Tollway and Trinity Mills. Starts at 7:30. Cum play with us. Also get there early if you can. Hope to see you tonight!	2/14/16 19:22 (Hopper) 1.29
0	YakH3	YAKH3-icon2-01.png				12:00 PM			BYOB					***Basic Kayak Safety Rules That All Boaters Should Follow***<br /><br />As with all recreational activities, there is always the possibility of injury or death. Always use common sense and follow safety rules at all times.<br /><br />Be aware of weather conditions and water temperature. Prepare for changes in weather and the possibility of a capsize. In warm weather, a long sleeve YakH3 shirt can provide sun protection.<br /><br />Beware of off-shore winds that make it difficult to return to shore.<br />Always follow the boating rules of the area you're in.<br /><br />Brush up on self-rescue first in calm, warm, shallow water, and again in more extreme conditions.<br /><br />Most importantly, WEAR YOUR PERSONAL FLOATATION DEVICE. Coast Guard regulations require that all kayaks have a lifejacket on board. Wearing your lifejacket will help keep your head above water and add insulation to your body, keeping you warmer in cold water. There are great PFDs designed specifically for paddlers. Buy one that fits well, and always wear it while you paddle.<br /><br />Stay hydrated. Always bring plenty of water and food.<br /><br />HARES:  When paddling in a new area, check with the locals regarding currents, shoreline conditions and weather patterns. Plan an "escape" route - an alternative place to get off the water should environmental conditions dictate it. <br /><br />It is important to check conditions such as weather and tides before going out in your kayak. Whether you are going on a multi-day excursion or just paddling for an afternoon, being aware of current conditions can help you plan a more safe and efficient trip. An excellent way to monitor sea conditions is to use the National Marine Forecast located at www.weather.gov/om/marine/home.htm<br /><br />On~On X	8/21/19 14:31 (The Owner) 1.31
