day	kennel	icon	title	run	hares	time	start	map	hashcash	turds	tweet	twilight	date	desc	update
3	Full Moon Hash	Calendar Icons-03.png	Full Moon Hash	87		7:00 PM (time may vary)				Yes		7:19 PM	Tuesday, March 03, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
4	Dallas Urban Hash	DUH.png	Dallas Urban Hash Run	834		6:30 PM				Yes		7:16 PM	Wednesday, March 04, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
7	Ft Worth Hash	ftworth.png	Ft Worth Hash Run	1048		2:00 PM			$7.00 cash - Paypal $7 - Pay pal (FWH3) or Zelle 817-689-9363 - BYOB pre-lube beer	Yes		7:08 PM	Saturday, March 07, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
9	NO-NO-DUH	nonoduh.png	NO-NO-DUH Run	5		7:00 PM			$7.00	Yes		8:02 PM	Monday, March 09, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
11	Dallas Urban Hash	DUH.png	Dallas Urban Hash Run	835		6:30 PM				Yes		7:57 PM	Wednesday, March 11, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
14	Dallas Hash	dallas.png	Dallas Hash Run	1214		2:00 PM			$10.00 - Pay Online: Paypal $10	Yes		7:49 PM	Saturday, March 14, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
18	Dallas Urban Hash	DUH.png	Dallas Urban Hash Run	836		6:30 PM				Yes		7:39 PM	Wednesday, March 18, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
21	Ft Worth Hash	ftworth.png	Ft Worth Hash Run	1049		2:00 PM			$7.00 cash - Paypal $7 - Pay pal (FWH3) or Zelle 817-689-9363 - BYOB pre-lube beer	Yes		7:31 PM	Saturday, March 21, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
25	Dallas Urban Hash	DUH.png	Dallas Urban Hash Run	837		6:30 PM				Yes		7:20 PM	Wednesday, March 25, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
28	Dallas Hash	dallas.png	Dallas Hash Run	1215		2:00 PM			$10.00 - Pay Online: Paypal $10	Yes		7:12 PM	Saturday, March 28, 2026		(calgen 1.7) 11/12/2025 16:37 UTC
